state,math_grade4_2022
DoDEA,250
Wyoming,243
Massachusetts,242
Nebraska,242
Florida,241
Wisconsin,240
North_Dakota,240
Iowa,240
Utah,240
New_Hampshire,239
New_Jersey,239
Indiana,239
Minnesota,239
South_Dakota,239
Texas,239
Montana,239
Ohio,238
Pennsylvania,238
Illinois,237
Hawaii,237
Virginia,236
Connecticut,236
Tennessee,236
Idaho,236
Colorado,236
North_Carolina,236
Kansas,235
Washington,235
Georgia,235
National_public,235
Vermont,234
South_Carolina,234
Rhode_Island,234
Kentucky,234
Mississippi,234
Maine,233
Missouri,232
Michigan,232
Arizona,232
California,230
Alabama,230
Oklahoma,229
Nevada,229
Maryland,229
Louisiana,229
Oregon,228
Arkansas,228
New_York,227
West_Virginia,226
Alaska,226
Delaware,226
District_of_Columbia,223
New_Mexico,221
Puerto_Rico,178
