state,reading_grade4_2022
DoDEA,235
Massachusetts,227
Wyoming,225
Florida,225
Colorado,223
New_Jersey,223
New_Hampshire,223
Utah,221
Connecticut,219
Pennsylvania,219
Hawaii,219
Montana,219
Nebraska,219
Ohio,219
South_Dakota,218
Iowa,218
Illinois,218
North_Dakota,218
Wisconsin,217
Indiana,217
Rhode_Island,217
Mississippi,217
Vermont,217
Washington,217
Kentucky,217
South_Carolina,216
North_Carolina,216
National_public,216
Georgia,216
Arizona,215
Minnesota,215
Idaho,215
Kansas,215
California,214
Texas,214
Virginia,214
Tennessee,214
New_York,214
Missouri,213
Alabama,213
Maine,213
Maryland,212
Louisiana,212
Arkansas,212
Michigan,212
Nevada,212
Oregon,210
Delaware,208
Oklahoma,208
District_of_Columbia,207
West_Virginia,205
Alaska,204
New_Mexico,202
Puerto_Rico,—
